GHG source,Federal organization,Fiscal year,Fleet type,GHG scope,Energy category,Fuel type,Fuel consumption (L),Energy use (GJ),Emissions (t)
fleets,Agriculture and Agri-Food Canada,FY 2005-06,on-road vehicles,1,liquified petroleum gas,propane,2697.999442,68.28636588,4.155838165
fleets,Agriculture and Agri-Food Canada,FY 2005-06,Other mobile equipment,1,fuels with renewable content,ethanol-blended gasoline (10%),25147.41901,851.4916077,56.21706486
fleets,Agriculture and Agri-Food Canada,FY 2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (85%),250611.0003,6342.964417,89.16737652
fleets,Agriculture and Agri-Food Canada,FY 2005-06,Other mobile equipment,1,gasoline,gasoline,199127.8826,6969.475891,491.089241
fleets,Agriculture and Agri-Food Canada,FY 2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),213748.5628,7237.526336,445.8902976
fleets,Agriculture and Agri-Food Canada,FY 2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,276954.0499,10607.34011,758.4516947
fleets,Agriculture and Agri-Food Canada,FY 2005-06,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,802220.2837,30725.03687,2157.06926
fleets,Agriculture and Agri-Food Canada,FY 2005-06,on-road vehicles,1,gasoline,gasoline,1747897.685,61176.41897,4049.443493
fleets,Agriculture and Agri-Food Canada,FY 2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,315517.258,11045.9881,789.8181435
fleets,Agriculture and Agri-Food Canada,FY 2010-11,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,906466.52,31734.614,2227.947219
fleets,Agriculture and Agri-Food Canada,FY 2010-11,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),9158.912,320.47584,18.4624384
fleets,Agriculture and Agri-Food Canada,FY 2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),134248.809,4699.63673,64.25560215
fleets,Agriculture and Agri-Food Canada,FY 2010-11,Other mobile equipment,1,Fuels with renewable content,biodiesel (20%),33782,1182.0525,68.0974
fleets,Agriculture and Agri-Food Canada,FY 2010-11,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),33956.9786,1189.020988,72.91093554
fleets,Agriculture and Agri-Food Canada,FY 2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),288628.226,10106.46508,619.7298714
fleets,Agriculture and Agri-Food Canada,FY 2010-11,Other mobile equipment,1,Gasoline,gasoline,119068,4167.38,267.545796
fleets,Agriculture and Agri-Food Canada,FY 2010-11,On-road vehicles,1,Gasoline,gasoline,1045151,36580.285,2344.273693
fleets,Agriculture and Agri-Food Canada,FY 2010-11,On-road vehicles,1,Natural gas,compressed natural gas,196.862,0.029108,0.001660611
fleets,Agriculture and Agri-Food Canada,FY 2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),45261.593,1583.53117,106.0524511
fleets,Agriculture and Agri-Food Canada,FY 2011-12,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),143387.257,5016.57533,335.9707215
fleets,Agriculture and Agri-Food Canada,FY 2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,341971.272,11972.1204,856.0391178
fleets,Agriculture and Agri-Food Canada,FY 2011-12,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,710905.268,24888.1826,1747.28948
fleets,Agriculture and Agri-Food Canada,FY 2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),72011.1615,2520.888655,34.46675303
fleets,Agriculture and Agri-Food Canada,FY 2011-12,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),57336.331,2007.66098,123.1100559
